TEAM_ID_HOME,TEAM_ID_AWAY,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,PTS_PAINT_HOME,PTS_2ND_CHANCE_HOME,PTS_FB_HOME,LARGEST_LEAD_HOME,LEAD_CHANGES_HOME,TIMES_TIED_HOME,TEAM_TURNOVERS_HOME,TOTAL_TURNOVERS_HOME,TEAM_REBOUNDS_HOME,PTS_OFF_TO_HOME,PTS_PAINT_AWAY,PTS_2ND_CHANCE_AWAY,PTS_FB_AWAY,LARGEST_LEAD_AWAY,LEAD_CHANGES_AWAY,TIMES_TIED_AWAY,TEAM_TURNOVERS_AWAY,TOTAL_TURNOVERS_AWAY,TEAM_REBOUNDS_AWAY,PTS_OFF_TO_AWAY,ATTENDANCE,PTS_QTR1_HOME,PTS_QTR2_HOME,PTS_QTR3_HOME,PTS_QTR4_HOME,PTS_OT1_HOME,PTS_OT2_HOME,PTS_OT3_HOME,PTS_OT4_HOME,PTS_OT5_HOME,PTS_OT6_HOME,PTS_OT7_HOME,PTS_OT8_HOME,PTS_OT9_HOME,PTS_OT10_HOME,PTS_QTR1_AWAY,PTS_QTR2_AWAY,PTS_QTR3_AWAY,PTS_QTR4_AWAY,PTS_OT1_AWAY,PTS_OT2_AWAY,PTS_OT3_AWAY,PTS_OT4_AWAY,PTS_OT5_AWAY,PTS_OT6_AWAY,PTS_OT7_AWAY,PTS_OT8_AWAY,PTS_OT9_AWAY,PTS_OT10_AWAY,HOME_TEAM_WINS,HOME_TEAM_LOSSES,HOME_W
ORL,MEM,36,72,0.5,8,25,0.32,27,33,0.818,5,39,44,19,4,9,14,23,7,38,93,0.409,6,22,0.273,18,26,0.692,13,33,46,24,9,3,10,26,-7,48,8,8,7,14,22,0,14,4,18,40,13,14,7,14,22,1,10,11,11,17875,31,21,25,30,0,0,0,0,0,0,0,0,0,0,27,25,27,21,0,0,0,0,0,0,0,0,0,0,2,0,1
CLE,DEN,46,88,0.523,9,24,0.375,16,21,0.762,12,29,41,25,5,2,9,16,-9,47,86,0.547,19,35,0.543,13,15,0.867,6,29,35,35,4,3,9,19,9,50,10,21,3,6,3,0,9,5,11,44,5,14,15,6,3,0,9,7,11,20562,31,31,35,20,0,0,0,0,0,0,0,0,0,0,37,36,30,23,0,0,0,0,0,0,0,0,0,0,1,1,0
HOU,BOS,39,87,0.448,19,49,0.388,26,30,0.867,10,30,40,24,11,5,11,21,3,44,91,0.484,13,24,0.542,19,21,0.905,10,28,38,22,6,3,13,21,-3,32,7,20,8,12,9,1,11,10,10,48,24,2,9,12,9,0,13,13,15,18476,30,28,28,37,0,0,0,0,0,0,0,0,0,0,32,32,25,31,0,0,0,0,0,0,0,0,0,0,1,1,1
MIA,DET,37,82,0.451,12,29,0.414,19,28,0.679,15,30,45,19,11,5,15,20,9,37,89,0.416,7,24,0.292,15,21,0.714,17,29,46,18,8,2,19,23,-9,30,19,10,18,3,1,2,15,9,15,42,17,9,9,3,1,1,19,12,26,19600,27,32,15,31,0,0,0,0,0,0,0,0,0,0,28,18,24,26,0,0,0,0,0,0,0,0,0,0,2,2,1
POR,OKC,39,88,0.443,11,33,0.333,19,23,0.826,14,33,47,20,6,8,15,21,8,40,91,0.44,6,27,0.222,14,21,0.667,9,31,40,18,6,6,12,21,-8,46,15,7,11,18,4,0,15,9,15,56,8,19,6,18,4,0,12,15,12,20063,25,28,30,25,0,0,0,0,0,0,0,0,0,0,28,22,25,25,0,0,0,0,0,0,0,0,0,0,4,0,1
SAC,UTA,34,89,0.382,9,30,0.3,14,17,0.824,11,37,48,15,7,7,13,24,-7,34,82,0.415,11,32,0.344,19,29,0.655,11,41,52,20,9,7,13,19,7,36,4,15,1,6,2,0,13,9,13,38,17,8,18,6,2,0,13,7,13,17583,17,26,23,25,0,0,0,0,0,0,0,0,0,0,25,27,23,23,0,0,0,0,0,0,0,0,0,0,0,3,0
LAC,BKN,44,84,0.524,10,27,0.37,25,30,0.833,7,33,40,18,12,6,10,20,3,40,92,0.435,19,45,0.422,21,23,0.913,13,31,44,30,8,4,14,21,-3,60,9,22,15,4,5,0,10,9,13,42,20,20,8,3,5,0,14,6,18,16384,32,33,26,32,0,0,0,0,0,0,0,0,0,0,27,26,33,34,0,0,0,0,0,0,0,0,0,0,2,0,1
MIL,PHI,47,95,0.495,10,23,0.435,14,22,0.636,16,22,38,27,15,4,15,24,8,39,70,0.557,14,28,0.5,18,22,0.818,6,26,32,26,4,9,26,24,-8,52,13,28,14,1,1,2,15,12,11,44,9,21,20,1,1,0,26,9,36,15587,31,29,33,25,0,0,0,0,0,0,0,0,0,0,43,29,14,24,0,0,0,0,0,0,0,0,0,0,2,2,1
DAL,NOP,40,90,0.444,10,23,0.435,19,25,0.76,10,33,43,25,5,2,12,20,-17,49,91,0.538,12,26,0.462,16,21,0.762,6,41,47,27,9,4,12,21,17,40,12,19,2,4,4,0,12,4,12,56,16,27,20,4,4,1,12,9,11,19798,25,24,29,31,0,0,0,0,0,0,0,0,0,0,33,32,26,35,0,0,0,0,0,0,0,0,0,0,1,3,0
ATL,PHX,43,94,0.457,17,33,0.515,10,12,0.833,9,40,49,23,7,5,16,18,1,46,92,0.5,11,26,0.423,9,15,0.6,5,36,41,33,6,6,14,19,-1,34,14,17,7,24,11,0,16,6,16,54,9,25,7,23,11,0,14,9,20,15166,29,27,30,27,0,0,0,0,0,0,0,0,0,0,23,33,31,25,0,0,0,0,0,0,0,0,0,0,1,1,1
