TEAM_ABBREVIATION_HOME,TEAM_ABBREVIATION_AWAY,FGM_HOME,FG_PCT_HOME,FG3_PCT_HOME,DREB_HOME,AST_HOME,FGM_AWAY,FG_PCT_AWAY,FG3_PCT_AWAY,DREB_AWAY,LARGEST_LEAD_HOME,LARGEST_LEAD_AWAY,HOME_TEAM_WINS,HOME_TEAM_LOSSES,HOME_W
POR,LAC,38,0.422,0.32,38,16,38,0.442,0.292,32,13,7,1,3,1
DAL,UTA,39,0.47,0.286,26,24,35,0.438,0.3,30,20,7,2,1,1
DEN,PHX,41,0.456,0.208,24,24,40,0.506,0.556,32,17,11,2,2,0
CHA,PHI,40,0.494,0.48,36,25,32,0.405,0.308,33,26,0,4,0,1
MIN,DET,33,0.429,0.231,34,17,40,0.46,0.214,37,10,12,0,2,0
OKC,NYK,35,0.38,0.103,28,12,33,0.458,0.6,30,3,16,1,1,0
MEM,HOU,36,0.424,0.333,39,26,28,0.378,0.207,40,20,7,2,2,1
NOP,SAS,40,0.455,0.364,46,26,34,0.405,0.529,38,14,8,1,3,1
SAS,MEM,34,0.472,0.333,33,20,32,0.432,0.111,28,16,2,4,0,1
ORL,SAC,38,0.413,0.29,35,27,31,0.383,0.35,37,4,16,1,1,0
CLE,ATL,41,0.482,0.379,40,27,32,0.372,0.393,26,26,1,3,0,1
HOU,NYK,35,0.432,0.429,26,18,34,0.425,0.48,26,7,7,1,1,0
MIA,PHI,30,0.435,0.278,36,16,31,0.378,0.323,33,6,17,3,0,1
DET,WAS,36,0.456,0.308,30,20,38,0.487,0.368,33,11,14,1,3,0
IND,MIL,47,0.516,0.5,31,28,34,0.43,0.294,30,40,6,3,1,1
LAL,POR,32,0.364,0.333,36,17,43,0.494,0.32,36,2,14,0,3,0
BKN,BOS,40,0.506,0.333,35,18,35,0.427,0.378,25,22,0,2,2,1
LAC,TOR,29,0.392,0.219,30,21,29,0.372,0.235,32,5,29,0,2,0
DEN,GSW,37,0.43,0.267,28,23,47,0.528,0.517,35,2,21,1,3,0
OKC,DAL,47,0.522,0.409,27,25,44,0.53,0.526,27,11,10,4,0,1
NOP,PHX,39,0.459,0.367,39,23,35,0.389,0.472,35,11,4,2,2,1
SAS,PHX,42,0.512,0.45,27,21,34,0.466,0.368,28,18,5,4,0,1
CLE,ORL,43,0.531,0.514,33,34,40,0.494,0.455,30,23,10,4,0,1
MIA,NYK,31,0.383,0.263,40,18,28,0.322,0.167,34,26,7,3,1,1
UTA,OKC,28,0.384,0.263,28,15,42,0.545,0.407,30,5,34,0,4,0
MIL,DET,43,0.518,0.692,33,30,31,0.341,0.214,26,29,5,1,3,1
MIN,PHI,36,0.462,0.25,33,20,32,0.41,0.323,30,7,13,1,1,1
CHA,SAC,49,0.5,0.31,40,24,52,0.5,0.258,38,8,22,2,0,1
GSW,LAL,45,0.489,0.343,36,32,31,0.373,0.143,37,41,0,3,1,1
POR,CHI,31,0.352,0.273,39,18,33,0.384,0.389,38,0,13,1,1,0
ATL,BOS,45,0.563,0.5,37,33,34,0.415,0.429,23,29,2,3,1,1
DEN,LAC,31,0.397,0.32,40,16,37,0.468,0.4,32,3,18,1,2,0
WAS,IND,38,0.458,0.394,30,27,44,0.55,0.731,34,7,17,1,2,0
MEM,DAL,37,0.43,0.333,37,20,30,0.39,0.324,44,25,2,1,3,1
SAS,DAL,33,0.407,0.286,40,23,34,0.41,0.273,37,12,0,4,0,1
PHX,NOP,44,0.458,0.385,33,25,42,0.519,0.455,37,17,6,2,2,0
BOS,PHI,31,0.341,0.31,43,18,31,0.373,0.259,43,10,11,4,0,1
LAC,UTA,38,0.507,0.333,24,18,39,0.506,0.462,28,4,17,2,1,0
ORL,NYK,34,0.395,0.313,33,20,31,0.373,0.333,35,15,6,2,1,1
